Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
n,0,1,1,1,0.0,0.0,8071.31713,0.00046,1008664.91582,0.00049,782.347,0.0
H,1,0,1,-1,0.0,0.0,7288.97061,9e-05,1007825.03224,9e-05,,
H,1,1,2,0,1112.283,0.0,13135.72176,0.00011,2014101.77811,0.00012,,
H,1,2,3,1,2827.265,0.0,14949.80993,0.00022,3016049.28199,0.00023,18.592,0.0
He,2,1,3,-1,2572.68,0.0,14931.21793,0.00021,3016029.32265,0.00022,-13736.0,2000.0
Li,3,0,3,-3,-2267.0,667.0,28667.0,2000.0,3030775.0,2147.0,,
H,1,3,4,2,1720.449,25.0,24621.127,100.0,4026431.868,107.354,22196.211,100.0
He,2,2,4,0,7073.915,0.0,2424.91561,6e-05,4002603.25413,6e-05,-22898.273,212.132
Li,3,1,4,-2,1153.76,53.033,25323.189,212.132,4027185.562,227.733,,
H,1,4,5,3,1336.359,17.889,32892.444,89.443,5035311.493,96.02,21661.211,91.652
He,2,3,5,1,5512.132,4.0,11231.233,20.0,5012057.224,21.47,-447.654,53.852
Li,3,2,5,-1,5266.132,10.0,11678.886,50.0,5012537.8,53.677,-25460.0,2003.0
Be,4,1,5,-3,18.0,401.0,37139.0,2003.0,5039870.0,2150.0,,
H,1,5,6,4,961.639,42.354,41875.721,254.127,6044955.437,272.816,24283.626,254.127
He,2,4,6,2,4878.519,0.009,17592.095,0.053,6018885.891,0.057,3505.216,0.053
Li,3,3,6,0,5332.331,0.0,14086.87895,0.00144,6015122.88742,0.00155,-4288.154,5.448
Be,4,2,6,-2,4487.247,0.908,18375.033,5.448,6019726.409,5.848,-28945.0,2003.0
B,5,1,6,-4,-467.0,334.0,47320.0,2003.0,6050800.0,2150.0,,
H,1,6,7,5,940.0,143.0,49135.0,1004.0,7052749.0,1078.0,23062.0,1004.0
He,2,5,7,3,4123.057,1.08,26073.126,7.559,7027990.654,8.115,11166.021,7.559
Li,3,4,7,1,5606.439,0.001,14907.10529,0.00423,7016003.43666,0.00454,-861.893,0.071
Be,4,3,7,-1,5371.548,0.01,15768.999,0.071,7016928.717,0.076,-11907.551,25.15
B,5,2,7,-3,3558.705,3.593,27676.55,25.15,7029712.0,27.0,,
He,2,6,8,4,3924.52,0.011,31609.681,0.089,8033934.39,0.095,10663.878,0.1
Li,3,5,8,2,5159.712,0.006,20945.804,0.047,8022486.246,0.05,16004.133,0.059
Be,4,4,8,0,7062.435,0.004,4941.671,0.035,8005305.102,0.037,-17979.896,1.0
B,5,3,8,-2,4717.155,0.125,22921.567,1.0,8024607.316,1.073,-12142.701,18.27
C,6,2,8,-4,3101.524,2.28,35064.268,18.243,8037643.042,19.584,,
He,2,7,9,5,3349.037,5.202,40935.826,46.816,9043946.419,50.259,15980.924,46.817
Li,3,6,9,3,5037.768,0.021,24954.902,0.186,9026790.191,0.2,13606.449,0.201
Be,4,5,9,1,6462.668,0.009,11348.453,0.077,9012183.066,0.082,-1068.035,0.899
B,5,4,9,-1,6257.07,0.1,12416.488,0.903,9013329.649,0.969,-16494.484,2.319
C,6,3,9,-3,4337.423,0.237,28910.972,2.137,9031037.207,2.293,,
He,2,8,10,6,2995.134,9.285,49197.143,92.848,10052815.308,99.676,16144.519,93.715
Li,3,7,10,4,4531.351,1.272,33052.624,12.721,10035483.453,13.656,20445.136,12.722
Be,4,6,10,2,6497.63,0.008,12607.488,0.081,10013534.695,0.086,556.878,0.082
B,5,5,10,0,6475.083,0.002,12050.609,0.015,10012936.862,0.016,-3648.062,0.069
C,6,4,10,-2,6032.042,0.007,15698.672,0.07,10016853.218,0.075,-23101.355,400.0
N,7,3,10,-4,3643.672,40.0,38800.026,400.0,10041653.543,429.417,,
Li,3,8,11,5,4155.381,0.056,40728.254,0.615,11043723.581,0.66,20551.087,0.659
Be,4,7,11,3,5952.54,0.022,20177.167,0.238,11021661.081,0.255,11509.46,0.238
B,5,6,11,1,6927.732,0.001,8667.707,0.012,11009305.166,0.013,-1981.689,0.061
C,6,5,11,-1,6676.456,0.005,10649.396,0.06,11011432.597,0.064,-13654.163,46.154
N,7,4,11,-3,5364.046,4.196,24303.559,46.154,11026090.945,49.548,,
Li,3,9,12,6,3791.6,2.501,49009.571,30.006,12052613.941,32.213,23931.812,30.067
Be,4,8,12,4,5720.722,0.159,25077.76,1.909,12026922.083,2.048,11708.363,2.321
B,5,7,12,2,6631.223,0.11,13369.397,1.321,12014352.638,1.418,13369.397,1.321
C,6,6,12,0,7680.144,0.0,0.0,0.0,12000000.0,0.0,-17338.068,1.0
N,7,5,12,-2,6170.109,0.083,17338.068,1.0,12018613.182,1.073,-14576.544,24.021
O,8,4,12,-4,4890.202,2.0,31914.613,24.0,12034261.747,25.765,,
Li,3,10,13,7,3507.63,5.385,56980.888,70.003,13061171.503,75.15,23321.812,70.739
Be,4,9,13,5,5241.435,0.783,33659.077,10.18,13036134.507,10.929,17097.13,10.23
B,5,8,13,3,6496.419,0.077,16561.947,1.0,13017779.981,1.073,13436.938,1.0
C,6,7,13,1,7469.849,0.0,3125.00888,0.00021,13003354.83521,0.00023,-2220.472,0.27
N,7,6,13,-1,7238.863,0.021,5345.481,0.27,13005738.609,0.289,-17769.951,9.53
O,8,5,13,-3,5811.763,0.733,23115.432,9.526,13024815.437,10.226,,
